keyword,pc,mobile,total,comp_label,competition,ad_depth
DSR계산기,28200,60200,88400,중간,0.6,4
국가장학금,24900,63100,88000,낮음,0.3,0
실업급여신청,23100,64500,87600,중간,0.6,2
삼성제습기,12800,74700,87500,중간,0.6,8
주휴수당계산기,14800,72400,87200,중간,0.6,5
육아휴직급여,22900,63800,86700,중간,0.6,3
샌들,15900,70700,86600,높음,0.9,10
세탁기,19000,67500,86500,높음,0.9,8
미국금리,17200,68300,85500,중간,0.6,6
무공해차누리집,27000,57000,84000,중간,0.6,1
휴대용선풍기,18200,65200,83400,높음,0.9,10
자동차보험비교,20900,62200,83100,높음,0.9,10
실링팬,18300,63600,81900,중간,0.6,8
손선풍기,13700,67300,81000,중간,0.6,8
자전거,14900,65700,80600,중간,0.6,8
쿠팡주가,10400,70000,80400,중간,0.6,5
백팩,13200,67200,80400,높음,0.9,7
BYD전기차,7340,72700,80040,높음,0.9,10
모바일신분증발급,9180,70000,79180,중간,0.6,1
초파리트랩,10300,68500,78800,높음,0.9,9
베이비페어,12100,65500,77600,높음,0.9,10
반도체,19200,57900,77100,높음,0.9,9
써큘레이터,12800,64200,77000,중간,0.6,8
고용보험,39300,37200,76500,중간,0.6,6
일본증시,15800,60300,76100,중간,0.6,4
트레이딩뷰,56500,19400,75900,중간,0.6,7
주담대,21000,54500,75500,중간,0.6,8
삼성노트북,19600,53700,73300,높음,0.9,10
에코백,10300,62500,72800,높음,0.9,10
노란우산공제,35400,37400,72800,중간,0.6,7
넥쿨러,17000,55600,72600,높음,0.9,10
디딤돌대출,23700,48900,72600,중간,0.6,3
건축물대장,62700,9240,71940,높음,0.9,3
비데,15400,55800,71200,중간,0.6,8
블랙박스,14400,56300,70700,중간,0.6,8
신일서큘레이터,7080,63400,70480,중간,0.6,8
가방,12400,57700,70100,높음,0.9,10
식기세척기,10900,58900,69800,중간,0.6,8
냉각손선풍기,9200,60400,69600,중간,0.6,7
골전도이어폰,12900,56500,69400,중간,0.6,8
스마트워치,15200,54200,69400,중간,0.6,8
공기청정기,15200,54000,69200,높음,0.9,10
자동차검사소,10800,58200,69000,높음,0.9,10
무선선풍기,11400,57300,68700,중간,0.6,8
오늘의주식,1590,66900,68490,높음,0.9,9
운동화,12500,55300,67800,높음,0.9,10
현대블루핸즈,6880,60700,67580,중간,0.6,3
침대프레임,12900,54400,67300,중간,0.6,8
서큘레이터,15800,51100,66900,중간,0.6,8
전기차보조금,17200,49000,66200,높음,0.9,10
