keyword,volume,comp,competition,ad_depth,tier,blog,score
매트,28410,중간,0.6,8,4,T2,285.0
월세보증보험,3410,중간,0.6,6,5,T1,282.6
슈퍼싱글매트리스,22830,중간,0.6,8,4,T2,278.9
삼성화재실손보험,2790,중간,0.6,8,5,T1,275.6
스트레스DSR,2720,중간,0.6,4,5,T1,274.8
상속재산분할협의서양식,2340,중간,0.6,3,5,T1,269.5
골프채,15350,중간,0.6,8,4,T2,267.9
건강보험공단고객센터,14760,중간,0.6,3,4,T1,266.8
개인회생면책신청,1990,중간,0.6,3,5,T1,263.9
창문형에어컨,304400,중간,0.6,8,3,T2,263.2
IRP계좌개설,12090,중간,0.6,8,4,T1,261.3
아파트증여세계산기,1830,중간,0.6,5,5,T1,261.0
상속세개편,1730,중간,0.6,6,5,T1,259.0
장기요양보험공단,10950,중간,0.6,2,4,T1,258.5
주택청약1순위조건,10910,중간,0.6,7,4,T1,258.4
노인임플란트지원,1640,중간,0.6,3,5,T1,257.2
싱글매트리스,10410,중간,0.6,8,4,T2,257.1
예금이자높은은행,9550,중간,0.6,4,4,T1,254.7
미국주식세금,9530,중간,0.6,4,4,T1,254.7
음식물처리기,195100,중간,0.6,8,3,T2,253.9
부가세환급일,9220,중간,0.6,3,4,T1,253.7
정부지원대출,9110,중간,0.6,5,4,T1,253.4
신용보증보험,1460,중간,0.6,7,5,T1,253.1
전기자전거,158200,중간,0.6,8,3,T2,249.6
4대보험요율,7920,중간,0.6,3,4,T1,249.5
매트리스토퍼,7410,중간,0.6,8,4,T2,247.7
청약조건,7380,중간,0.6,2,4,T1,247.6
로봇청소기,142100,중간,0.6,8,3,T2,247.3
증여취득세율,1200,중간,0.6,6,5,T1,246.3
사잇돌대출,6920,중간,0.6,6,4,T1,245.8
DB손해보험다이렉트,6740,중간,0.6,6,4,T1,245.0
4대보험계산기,125700,중간,0.6,1,3,T1,244.8
소액생계비대출,6570,중간,0.6,4,4,T1,244.3
모바일건강보험증발급,6420,중간,0.6,3,4,T1,243.7
에어매트리스,6010,중간,0.6,8,4,T2,241.8
누하스안마의자,5950,중간,0.6,8,4,T2,241.6
톤틴연금,5880,중간,0.6,5,4,T1,241.2
중도상환수수료,5740,중간,0.6,5,4,T1,240.6
메모리폼매트리스,5730,중간,0.6,8,4,T2,240.5
실업급여,100800,중간,0.6,8,3,T1,240.2
건강보험료인상,5670,중간,0.6,3,4,T1,240.2
국민취업지원제도,100300,중간,0.6,3,3,T1,240.1
보증보험증권,1000,중간,0.6,7,5,T1,240.0
DSR계산기,88400,중간,0.6,4,3,T1,237.4
실업급여신청,87600,중간,0.6,2,3,T1,237.2
노란우산공제혜택,5080,중간,0.6,4,4,T1,237.2
주휴수당계산기,87200,중간,0.6,5,3,T1,237.1
육아휴직급여,86700,중간,0.6,3,3,T1,237.0
중소기업청년전세대출,5010,중간,0.6,2,4,T1,236.8
자전거,80600,중간,0.6,8,3,T2,235.5
이동식에어컨렌탈,4780,중간,0.6,7,4,T2,235.5
퀸매트리스,4540,중간,0.6,8,4,T2,234.1
간이사업자부가세신고,4440,중간,0.6,3,4,T1,233.4
KB펫보험,4400,중간,0.6,3,4,T1,233.2
비데,71200,중간,0.6,8,3,T2,232.9
블랙박스,70700,중간,0.6,8,3,T2,232.8
식기세척기,69800,중간,0.6,8,3,T2,232.5
스마트워치,69400,중간,0.6,8,3,T2,232.4
도어락,65000,중간,0.6,8,3,T2,231.0
홈캠,64780,중간,0.6,8,3,T2,230.9
건조기,63800,중간,0.6,8,3,T2,230.6
커피머신,63500,중간,0.6,8,3,T2,230.5
타이거ETF,3920,중간,0.6,7,4,T1,230.0
매트리스받침대,3860,중간,0.6,8,4,T2,229.5
KB이륜차보험,3740,중간,0.6,3,4,T1,228.7
모니터,56600,중간,0.6,8,3,T2,228.1
소득세계산,3480,중간,0.6,1,4,T1,226.7
재산세계산기,47700,중간,0.6,1,3,T1,224.6
삼성화재실비보험,3170,중간,0.6,8,4,T1,224.1
단단한매트리스,3140,중간,0.6,8,4,T2,223.8
캠핑용매트리스,3060,중간,0.6,8,4,T2,223.1
7월공모주청약일정,3030,중간,0.6,4,4,T1,222.8
퀸사이즈매트리스,3000,중간,0.6,8,4,T2,222.5
한화간병인보험,3000,중간,0.6,8,4,T1,222.5
사전청약,2990,중간,0.6,7,4,T1,222.4
사대보험징수포털,2980,중간,0.6,1,4,T1,222.3
산업재해보상보험법,2940,중간,0.6,3,4,T1,222.0
매트리스싱글,2910,중간,0.6,8,4,T2,221.7
매트리스퀸,2840,중간,0.6,8,4,T2,221.0
LTV계산기,39600,중간,0.6,4,3,T1,220.7
금호타이어렌탈,2790,중간,0.6,4,4,T2,220.5
실업급여신청방법,37000,중간,0.6,6,3,T1,219.3
슈퍼싱글매트리스사이즈,2640,중간,0.6,8,4,T2,219.0
DTI계산기,35200,중간,0.6,8,3,T1,218.2
정기예금금리비교,34620,중간,0.6,6,3,T2,217.9
건강보험지사찾기,2530,중간,0.6,2,4,T1,217.8
삼성휴대폰보험,2490,중간,0.6,5,4,T1,217.4
스탠드에어컨,33050,중간,0.6,8,3,T2,216.9
태블릿,32600,중간,0.6,8,3,T2,216.6
국내ETF세금,2400,중간,0.6,6,4,T1,216.3
더블매트리스,2380,중간,0.6,8,4,T2,216.1
미즈노골프채,2330,중간,0.6,8,4,T2,215.5
